NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Carica papaya ,93.4,24,1.9,0.2,3.7,1,0.9,51,33,1.8,,,,,0,0,1000,0.32,0.07,0,85,60
Cempedak ,67,116,3,0.4,28.6,3.4,1,20,30,1.5,25,243.7,,,,79,200,0,,0.5,15,30
Duku ,82,63,1,0.2,16.1,4.3,0.7,18,9,0.9,2,149,0.1,0.2,,0,0,0.05,0.15,1.5,9,64
Durian ,65,134,2.5,3,28,3.5,8,7,44,1.3,1,601,0.1,0.3,,146,175,0.1,0.19,136.5,53,22
Duwet ,80.2,80,0.5,0.6,18.2,0.9,0.5,33,138,1.3,16,92.7,191.3,0.3,0,329,0,0.02,0.01,2.5,"13
 0",67
Embacang ,72.5,98,1.4,0.2,25.4,1.9,0.5,21,15,0.5,3,250.9,0.1,0.1,,2533,1218,0.03,0.09,0.7,56,65
Encung asam ,73,122,3.5,4.5,17.5,9.3,1.5,63,69,3.2,,,,,0,,2357,0.02,,,0,98
Erbis ,80,70,0.6,0,18.9,7.7,0.5,11,50,1.1,21,257.1,0.1,0.1,,549,10,0,0.1,1.1,16,33
Gandaria masak,80.8,68,0.7,0.1,18,2.2,0.4,9,20,1,3,129,,,,329,1020,0.03,0.07,0.7,"11
 1",70
Gatep ,52.7,191,4.5,1.5,39.7,13.4,1.6,186,69,3.2,17,403.3,0.7,1.3,,51,,0.05,0.2,1.8,,100
Jambu air ,87,46,0.6,0.2,11.8,2.1,0.8,8,9,1.1,11,321.2,,0.1,,92,,0.02,0.38,4.6,5,90
Jambu biji,86,49,0.9,0.3,12.2,2.4,0.6,14,28,1.1,10,52.8,0,0.3,,27,25,0.02,0.03,0.8,87,82
Jambu bj putih tdk berbiji,82.8,61,0.9,0.3,15.4,4.5,0.6,31,41,0.2,20,103,0,0.5,,53,18,01.02,0.06,1.3,"11
 6",82
Jambu bol ,87.1,49,2.3,0.2,9.6,3.5,0.8,8,8,0.3,1,14,0,0,,92,,0.13,0.01,0.5,22,67
Jambu monyet ,82.6,64,0.7,0.6,15.8,1.2,0.3,4,13,0.5,12,107.8,,,,1604,25,0.02,0,2,"19
 7",90
Jeruk bali ,86.3,48,0.6,0.2,12.4,0.8,0.5,23,27,0.5,21,366.1,171.3,0.1,,33,20,0.04,0,0.4,43,62
Jeruk banjar ,84.5,61,0.8,0.2,14.1,5.4,0.4,9,13,0.2,3,79,0.1,0.1,,9,,0.12,0.03,0.3,31,72
Jeruk garutkeprok,87.3,44,0.8,0.3,10.9,1.6,0.7,33,23,0.4,5,518.1,169.3,0.2,,0,420,0.07,0.03,0.2,31,71
Jeruk Kalamansi ,90.2,39,0.3,0.3,8.9,2.3,0.4,42,85,0.5,3,82,0.3,0.1,,1,0.3,0.02,0.1,0,30,100
Jeruk manis ,87.2,45,0.9,0.2,11.2,1.4,0.5,33,23,0.4,4,472.1,160,0.2,,0,190,0.08,0.03,0.2,49,72
Jeruk nipis ,88.9,44,0.5,0.2,10,0.4,0.4,18,22,0.2,3,108.9,0.1,0.1,,23,4,0.01,0.03,0.2,20,76
Jeruk ragi ,87.6,49,0.7,0.2,11.1,0.5,0.4,36,67,0.7,4,457.3,155,0.2,,0,68,0.03,0.03,0.2,30,59
Kawista ,71.8,120,3.5,2.5,20.8,4.6,1.4,190,230,1.6,9,1015.6,308.4,0.4,,99,,0.07,0.07,0.4,3,72
Kedondong masak,88,46,1,0.1,10.3,2.6,0.6,15,22,2.8,2,216.2,0,0.1,,164,233,0.08,0.23,0.3,30,58
Kedondong ,87.8,47,0.5,0.2,10.4,2.7,0.6,7,58,0.8,2,0,,0.2,,167,,0.07,0.04,0.4,32,58
Kelapa hutan kering,6,623,2,"52.
 1",36.5,15.3,3.4,120,280,3.8,100,460,1.7,1.9,,,,,,0.2,,
Kelapa muda daging,83.3,68,1,0.9,14,0,0.8,7,30,1,17.9,564.6,0.1,0.3,0,0,,0.06,0.02,0.6,4,53
Kemang ,86.5,48,1,0.2,11.9,1.7,0.4,10,24,0.1,2,88.6,0,0.1,,318,6,0.08,0.01,0.3,58,65
Kesemek ,78.2,78,0.8,0.4,20,0.6,0.6,6,26,0.3,0,34.5,0.1,0.1,,109,2710,0.05,0,0.1,11,97
Kokosan ,85,86,1.6,0.2,13,1.4,0.2,22,38,1.3,2,118.3,0.1,0.2,,0,20,0.04,0.04,1.5,3,64
Kranji ,20.1,315,2.1,1.4,73.5,3.6,2.9,160,120,3.7,,,,,,,,0.02,,,,31
Langsat ,84.1,56,0.9,0.2,14.3,1.4,0.5,17,24,1.1,1,232,0.1,0.2,,,0,0.07,0,0.8,9,64
Lemon ,92.2,34,0.5,0.8,6.2,0.1,0.3,23,20,0.3,31,140,0.1,0.2,,0,,0.09,0.12,0.3,50,100
Lontar ,93,27,0.4,0.2,6,1.6,0.4,91,243,0.5,,,,,,,,0.03,,,,79
Mangga ,86.6,52,0.7,0,12.3,1.6,0.2,20,16,1,3,140,0.3,0,,316,,0.03,0.01,0.3,12,65
Mangga benggala,84.4,63,2.4,0.4,12.4,5.8,0.4,9,13,0.2,3,79,0.1,0.1,,10,,0.18,0.01,0.4,43,65
Mangga gedung ,87.4,44,0.7,0.2,11.2,1.6,0.5,13,10,0.2,2,83.6,0,0.1,,113,16400,0.08,0.01,0.3,30,65
Mangga golek ,82.2,63,0.5,0.2,16.7,2.3,0.4,14,10,0.7,3,118.1,0.1,0.1,,160,3715,0.08,0.02,0.4,65,65
Mangga harumanis,86.6,46,0.4,0.2,11.9,1.7,0.8,15,9,0.2,2,88.9,0,0.1,,120,1200,0.08,0.01,0.3,6,65
Mangga indramayu,80.2,72,0.8,0.2,18.7,2.5,0.1,13,10,1.9,3,131.4,0.1,0.1,,178,2900,0.06,0.02,0.5,16,65
Mangga kopek ,84.5,56,0.4,0.2,14.6,2,0.3,16,10,1.7,2,102.9,0,0.1,,139,6520,0.03,0.01,0.4,27,65
Mangga kwini ,78.6,86,0.7,0.5,19.8,6.5,0.4,11,11,0.2,1,16,0.1,0.1,,932,,0.15,0.02,0.5,18,65
Mangga manalagi,66.5,133,1,0.1,32.1,11.8,0.3,20,23,1,70,161,0,0,0,4,,0.07,0,0.6,61,65
Mangga muda ,83.7,59,0.5,0.4,15.1,0,0.3,12,11,0.4,2,108.2,0.1,0.1,,146,85,0.06,0.02,0.4,2,73
Manggis ,83,63,0.6,0.6,15.6,1.5,0.2,8,12,0.8,10,61.9,0.1,0.1,,0,0,0.03,0.03,0.3,5,29
Markisa ,64.7,144,3.5,1.2,29.8,11.4,0.8,27,203,1.4,37,453.8,0.1,0.1,0,969,691,0.02,0.17,2,10,48
Matoa ,76.5,90,1.2,0.1,21.1,0.5,1.1,20,40,0.6,10,190,0.3,0.6,,2,,0.18,0.09,0.5,54,40
Melon ,90.8,37,0.6,0.4,7.8,1,0.5,12,14,0.4,27,167,0.3,0.1,,1,0,0.02,0.1,0,0,58.1
Menteng ,79,65,1.7,0.3,16.1,0,2.9,13,20,0.8,,,,,,,0,0,,,,64
Nanas palembang,85.5,58,0.7,0.2,13.3,1.6,0.3,29,15,0.6,7,117,0,0.1,,17,,0.26,0.03,0.2,11,53
Nanas ,88.9,40,0.6,0.3,9.9,0.6,0.3,22,14,0.9,18,111,0,0.1,0,17,90,0.02,0.04,0.2,22,53
Nangka masak pohon,70,106,1.2,0.3,27.6,3.7,2.7,20,19,0.9,2,407,246.6,1.4,,149,330,0.07,0.1,1,7,28
Pala daging ,88.1,42,0.3,0.2,10.9,0.5,0.5,32,24,1.5,,,,,,,29,,,,22,30
Pepaya ,86.7,46,0.5,12,12.2,1.6,0.6,23,12,1.7,4,221,0,0.3,,1038,365,0.04,0.06,0.4,78,75
Pisang ambon ,72.9,108,1,0.8,24.3,1.9,1,20,30,0.2,10,0,0.2,0.2,,37,,0.05,0.11,0.1,9,75
Pisang angleng (pisang ampyang) ,80.3,68,1.3,0.2,17.2,0.8,1,10,26,0.6,23,215.7,0,0,,9,76,0.08,0.05,2.5,6,75
Pisang ayam ,71.2,120,1.1,0.2,26.8,4.1,0.7,20,61,0.4,6,392,0.1,0.3,,24,,0.1,0.02,1,26,75
Pisang gapi ,66.3,131,1.6,0.1,31.1,11.7,1,58,40,0.3,6,392,0.1,0.3,,13,,0.18,0.02,0.3,13,75
Pisang goroho ,69.4,119,1.5,0.2,27.9,4.6,1,2,30,0.2,36,359,0.1,0.3,,11,,0.15,0.02,1.1,10,75
Pisang hijau ,68.9,121,1,0.1,28.9,0.4,1.1,9,37,0.9,31,529.4,0.3,0.6,,48,1000,0.13,0.06,0,13,72
Pisang kayu ,74.4,100,1.4,0.5,23.6,2.6,0.6,15,0,0.1,1,493,0.1,0.3,,3,,0.1,0,0.6,11,75
Pisang kepok ,71.9,109,0.8,0.5,26.3,5.7,1,10,30,0.5,10,300,0.1,0.2,,0,,0.1,0,0.1,9,75
Pisang ketip ,63.4,145,1.1,0.3,34.5,6.6,0.7,5,54,0.1,4,726,0.2,0.5,,3,,0.13,0.02,0.8,95,75
Pisang kidang ,75.4,96,1,0.2,22.5,0.6,0.9,87,173,0.6,6,418.8,0.2,0.5,,38,58,0.04,0.1,0.9,2,70
Pisang lampung ,72.1,99,1.3,0.2,25.6,4.3,0.8,10,19,0.9,28,475,0.3,0.5,,43,618,0.07,0.12,1,4,75
Pisang mas bali ampenan ,76.8,92,1.4,0.2,21,3.7,0.5,7,29,1.2,32,272,0.2,0.4,,14,,0.09,0.03,0.6,11,75
Pisang mas bali kopang ,64.2,127,1.4,0.2,31.8,3.7,2.4,10,0,0.1,43,616,0.1,0.4,,21,,0.21,0.05,0.9,17,75
Pisang mas ,64.2,127,1.4,0.2,33.6,1.4,0.6,7,25,0.8,42,392,195.8,0.5,,17,79,0.09,0.08,4.5,2,85
Pisang raja sereh,69.3,108,1.3,0.3,28.2,0.7,1,16,38,0.1,31,522.6,0.3,0.6,,48,480,0.02,0.08,1.1,2,86
Pisang raja ,65.8,120,1.2,0.2,31.8,5.3,1,10,22,0.8,35,582.2,0.3,0.7,,53,950,0.06,0.14,1.2,10,70
Pisang rotan ,76.1,98,1.3,1.2,20.5,1,0.9,17,51,1.1,24,406.9,0.2,0.5,,37,697,0.01,0.1,0.9,2,56
Pisang talas ,71,113,1.2,0.2,26.7,4.4,0.9,22,22,0.6,29,48,0.3,0.1,,159,,0.12,0.03,1,9,75
Pisang tujuh bulan,75.9,94,0.6,0.2,22.5,3.7,0.8,50,20,0.2,0,4,0.1,0.4,0,72,,0.03,0.03,0.3,6,75
Pisang ua ,67.8,128,0.8,0.5,30.2,8.1,0.7,12,28,0.7,33,382,0.2,0.3,,5,,0.09,0.01,1.2,4,75
Pisang uli ,61.8,134,1.1,0.5,35.5,1.4,1.1,31,53,0.9,39,650.3,0.3,0.7,,59,113,0.11,0.16,1.4,3,77
Purut ,81.1,76,4.1,1.1,15.2,1.7,1.4,30,76,0.6,10,285.2,,,,27,93,0.01,0.11,0,0,34
Rambutan binjai,81,76,0.5,0.2,18,3.8,0.3,15,22,1.2,22,120,0.2,0.2,,0,,0.19,0.01,0.4,13,40
Rambutan ,80.5,69,0.9,0.1,18.1,0.8,0.4,16,16,0.5,16,104.2,0.2,0.1,,0,0,0,0.07,0.5,58,40
Salak bali ,85.1,57,0.5,0.1,13.6,1.3,0.7,94,25,2.1,,,0.1,0.2,0,3,37,0,,,0,93
Salak medan ,78.1,55,0.4,0.2,12.8,3.2,8.5,6,46,0.5,39,113,0.2,0.3,0,4,,0.04,0.03,,58,93
Salak pondoh ,77.9,87,0.8,0.4,20.1,0,0.8,38,31,3.9,,,0.1,0.2,0,,40,0,0.12,0.1,8,59
Salak ,78,77,0.4,0,20.9,0,0.7,28,18,4.2,,,0.1,0.2,,4,0,0.04,,,2,93
Sawo duren ,87.3,64,1,3.1,8,0.8,0.6,18,45,0.8,13,111.4,0,0.1,0,0,0,0.01,0.02,0.1,1,64
Sawo kecik ,73.8,111,0.9,2.3,21.6,1,1.4,20,185,0.7,28,117.8,0,0.1,0,119,12,0,0.04,1.5,19,83
Sawo Manila ,75.5,92,0.5,1.1,22.4,9.5,0.5,25,12,1,26,110.2,0,0.1,0,111,60,0.01,0.04,1.4,21,79
Semangka ,92.1,28,0.5,0.2,6.9,0.4,0.3,7,12,0.2,7,93.8,0,0.1,,315,590,0.05,0.05,0.3,6,46
Sirsak ,81.7,65,1,0.3,16.3,3.2,0.7,14,27,0.6,2,298.9,0.1,1,,8,10,0.07,0.08,0.7,20,68
Sowa ,87.7,48,1.6,0.6,9.1,45,10,50,40,0.3,9,0,0.1,1.5,0,364,,0.15,0.23,0.2,4,
Srikaya ,83.4,63,1.1,0.5,13.9,2.1,1.1,127,30,2.7,,,,,0,,31,0.08,,,28,48
Sukun muda ,69.4,119,1.4,0.2,28.1,1.4,1,24,44,1.4,24,414.4,0.1,0.1,,28,4896,0.17,0.17,3.7,52,84
Sukun tua ,67.8,126,1.6,0.2,24.5,1.5,1,37,47,1.6,25,436,0.1,0.1,,30,2000,0.18,0.17,3.9,58,88
Vigus ,88,44,2.4,0.1,8.3,0,1.2,30,20,0.3,2,180,0.1,0.2,,,,0.26,0.01,,43,
Wani ,81.2,74,0.8,0.3,17.1,3.1,0.6,66,29,1.2,,,,,,,32,0.08,,,80,77
Barongko,66.7,159,3.1,5.8,23.5,0,0.7,35,65,1.2,46,78,0.3,0.6,,,,,,,,100
Dodol nanas,16.1,338,1.5,1.2,80.3,0,0.9,,,,,,,,,,,0.3,,,8,100
Getuk pisang,63.7,144,1.1,0.4,34.1,0.4,0.7,48,32,1,,,,,,,1240,0.55,,,0,100
Keripik lampung,5,485,1.7,"22.
 2",69.7,0.6,1.5,43,65,0.8,,,,,,,1464,0.34,,,0,100
Ledre pisang,3.6,405,4.8,5.1,84.9,0.4,1.6,59,124,2.6,,,,,,4,7330,0.41,,,0,100
Lempog durian,25.2,320,3.5,5.7,63.7,4.9,1.9,190,93,2.5,,,,,,,,0.05,0.04,,,100
Loka anjoro,63.3,163,1.1,4.3,30,0,1.3,,,,,,,,,,,,,,,100
Ricarica taipa,86.7,49,1.6,0.3,10,0,1.4,11,48,3,426,42,0.5,0.5,,13,,0.18,,,15,100
Rujak aceh,78.7,82,0.4,0.3,19.7,2.4,0.9,,,,,,,,,10,,0.22,0.03,,42,100
Sale kesemek,25,296,1.1,0.6,71.4,0,1.8,,,,,,,,,,,,,,3,100
Sale pisang siam,28.9,281,2.4,0.7,66.1,1,2,41,64,1.2,,,,,,,272,0.1,,,0,100
Sale pisang cilacap,27.1,295,2.3,2.1,66.9,1.3,1.7,47,97,2.8,,,,,,,296,0.14,,,,100
Sanggara belanda,47.1,242,6.4,7.1,38.2,0,1.2,,,,,,,,,,,,,,,100
Tepung Pisang,13.8,338,2.9,0.4,80.6,5.3,2.1,23,62,4,18,734,0.1,0.5,,13,1,0.02,0.02,1,2,100
Tepung Sukun,10.1,353,2.9,0.5,84.4,3.7,2.1,100,85,4.6,9,2008,0.1,0.6,,0,0,0.4,0.02,0.1,3,100
Anak sapi daging gemuk ,62,184,18.8,14,0,0,5.2,10,200,2.2,118,490.1,0.17,3.3,12,37,,0.13,0.17,7,,100
Anak sapi daging kurus ,69,174,19.6,10,0,0,1.4,11,201,2.9,96,399.8,0.14,2.7,6,30,,0.08,0.14,5.7,0,100
Anak sapi daging sedang ,68,190,19.1,12,0,0,0.9,11,193,2.9,99,412.7,0.14,2.8,12,83,,0.14,0.15,5.9,0,100
Angsa daging ,51.1,349,16.4,31.5,0,0,1,15,188,1.8,71,299.2,0.26,1.7,273,0,,0.1,0.24,7.11,0,60
Ayam daging ,55.9,298,18.2,25,0,0,0.9,14,200,1.5,109,385.9,0.11,0.6,245,0,,0.08,0.14,10.4,0,58
Ayam dideh/darah,82,75,13.8,1.9,0.7,0,1.6,15,9,1.3,337,234,,,15,,,0.02,,0.6,0,100
Ayam hati ,53.4,261,27.4,16.1,1.6,0,1.5,118,373,15.8,1068,22.9,0.84,0,4957,169,28000,0.64,4.38,4.11,0,100
Babi daging gemuk,42,453,11.9,45,0,0,1.1,7,117,1.8,112,819.3,0.22,0.4,0,0,,0.58,0.59,5.9,0,100
Babi daging kurus,50,371,14.1,35,0,0,0.9,8,151,2.1,97,706.3,0.19,0.4,0,0,,0.67,0.33,5.4,0,100
Babi ginjal ,77.1,110,16.3,4.6,0.8,0,1.2,11,246,8,139,390,0.71,3.2,39,10,,0.58,1.59,9.1,13,100
Babi hati ,72.3,129,19.7,4.8,1.7,0,1.5,10,362,18,110,447,0.58,0.1,4303,6,,0.4,1.16,5.7,23,100
Bebek (itik) daging,54.3,321,16,28.6,0,0,1.1,15,188,1.8,54,199,0.21,1.2,273,0,,0.1,0.28,4.3,0,60
Bebek alabio daging,57,303,11.3,27,3.7,0,1,20,293,4.8,50,260,0.7,2,,0,,0.36,0.04,4.1,,100
Belibis daging ,71.3,131,20.2,4.3,2.8,0,1.4,8,192,9.6,46,104,1.2,1.6,,0,,0.37,0.08,2.7,,100
Burung sarang ,24.8,281,37.5,0.3,32.1,0,5.3,485,18,3,,,,,0,,,,,,0,100
Domba daging gemuk ,55.8,317,15.7,27.7,0,0,0.8,9,157,2.4,64,242.1,0.11,3.7,0,0,,0.14,0.23,6.5,0,100
Domba daging kurus,66.3,202,17.1,14.8,0,0,1.8,10,191,2.6,90,355,0.08,2.8,0,0,,0.15,0.26,5.7,0,100
Domba ginjal ,77.8,100,16.6,3.3,1,0,1.3,13,237,9.2,155,276,0.48,2.4,348,515,,0.51,2.35,7.5,13,100
Kambing daging,70.3,149,16.6,9.2,0,0,3.9,11,124,1,96,268.7,0.31,4.9,0,0,,0.09,0.23,5,0,100
Kelinci daging ,74.3,142,16.9,7.8,0,0,1,7,350,1,49,371.1,,,0,0,0,0.11,0.11,6.8,,100
Kerbau daging ,80,79,18.7,0.5,0,0,0.8,14,221,3.3,91,273,0.13,1.6,,,,0.06,0.17,5,0,100
Kuda daging ,76,113,18.1,4.1,0.9,0,0.9,10,150,2.7,46,315.7,0.13,2.5,0,,,0.07,0.07,3,0,100
Sapi babat ,76.7,108,17.6,4.2,0,0,1.5,12,144,1,147,101.4,0.11,2.2,0,49,,0.15,0.17,1.7,0,100
Sapi daging gemuk,60,273,17.5,22,0,0,0.5,10,150,2.6,93,267,0.17,6.4,12,0,,0.08,0.18,7.3,0,100
Sapi daging kurus,69,174,19.6,10,0,0,1.4,11,181,2.9,83,489,0.07,4.9,6,181,,0.07,0.51,1.2,0,100
Sapi daging lemak sedang ,66,201,18.8,14,0,0,1.2,11,170,2.8,105,378,4.58,5.2,9,198,,0.08,0.56,1.3,0,100
Sapi daleman ,70.1,183,12,14.4,1.4,0,2.1,43,319,1.8,277,160,0.1,0.8,,104,,0.31,0.22,8.4,,100
Sapi dideh/darah,75.6,98,21.9,1.1,0,0,1.4,7,24,1.3,150,170,,0.2,15,214,,0.01,0.03,0.9,0,100
Sapi ginjal ,74.9,137,15,8.1,0.9,0,1.1,9,221,7.9,200,230.2,,,348,583,,0.37,1.22,6.1,13,100
Sapi keleponan ,83.8,84,10.5,4.6,0.2,0,0.9,20,13,2.1,73,318,0.2,1.7,857,34,,0.1,0.14,0.3,,100
Sapi liver ,69.7,132,19.7,3.2,6,0,1.4,7,358,6.6,110,213,0.51,2.3,13303,355,,0.26,1.52,11.4,31,100
Sapi otak ,78.9,123,10.4,8.6,0.8,0,1.3,16,330,3.6,112,243.8,0.26,0.9,0,0,,0.23,0.19,3.9,18,100
Sapi usus ,76.7,126,14,7.2,1.5,0,0.6,14,115,4,,,,,61,0,,0.08,0.33,0.2,0,100
Ulat sagu ,65.9,241,5.8,21.6,5.8,2.8,0.9,20,70,0.5,210,210,1,7.7,,0,,0.17,1.45,0.1,,100
Ayam ampela goreng,4.8,270,32.3,11.2,9.9,0,1.8,129,314,4.9,980,,0.12,3.3,56,,0,0.21,,4.72,0,100
Ayam usus goreng,4.6,473,45.2,26.3,13.9,0,10.1,1407,458,8.4,,,,,6,,224,0.57,,0,,100
Bebek daging goreng,48.8,300,24,20.7,4.5,0,2,170,170,4.1,34,6,0.4,3,,0,,0.1,0.4,10.6,,100
Buaya daging dendeng mentah,12.3,365,49.6,4.8,30.8,0,2.5,60,130,4.3,500,680,0.2,11.6,,0,,,,0.2,,100
Ham,42,384,16.9,35,0.3,0,5.8,10,136,2.5,112,819.3,0.11,0.4,0,,,0.7,0.95,9.7,0,100
Itik alabio daging dendeng mentah,12.7,496,30.3,33.5,18.4,0,5.1,135,370,12.5,1081,478,0.7,0.3,,0,,,,,,100
Kerupuk urat,3.6,588,53.7,40.9,1.2,0,0.6,36,15,1.3,1024,37,0.1,0.2,2802,,,,,,,100
Menjangan daging dendeng mentah,14.3,322,55.8,2,22.7,0,5.3,55,310,2.1,765,1282,1.7,3.2,3391,26,,,,,,100
Punai daging goreng,54.5,224,26.2,11.3,4.4,0,3.6,362,362,3.1,2,19,0.3,1.6,,,,,,,,100
Rusa daging dendeng mentah,18.3,536,40.5,41.5,0,0,2.5,90,420,13.4,130,690,0.3,10.7,285,,,,,0.2,,100
Sapi abon,7.1,212,18,10.6,59.3,7.5,4.7,150,209,12.3,,,,,0,240,138,0.17,,,0,100
Sapi abon asli,24.8,358,14.6,16.1,38.6,2.5,5.8,165,136,14.6,,,,,3,194,144,0.13,,,0,100
Sapi daging asap,60,182,32,6,0,0,2,15,300,5,1620,485.4,0.03,5.1,6,,,0.12,0.23,5.9,0,100
Sapi daging dendeng mentah,25,301,55,9,0,0,11,30,370,5.1,,,,,0,,,0.1,,,0,100
Sapi daging kornet,53,289,16,25,0,0,6,10,170,4,794,94.4,0.07,4,0,52,,0.01,0.16,2.7,0,100
Sapi daging sosis(Worst),37.6,448,14.5,42.3,2.3,0,3.3,28,61,1.1,765,284.5,0.06,1.7,0,,,0.1,0.18,4.9,0,100
Sapi hati sosis,56.6,274,16,22,3,2.3,2.4,20,150,4,654,158.8,0.22,2.2,1201,,,0.2,0.96,4,0,100
Sapi paru dendeng mentah,9.7,360,57.3,6,19.2,0,7.8,126,903,21.1,1483,864,1.2,6.1,2827,,,,,,,100
Sapi paru goreng,45.5,268,23.9,12.7,14.5,0,3.1,102,315,8.8,923,299,0,1.5,790,,,,,,,100
Ulat sagu panggang,41.3,380,11.9,30.3,14.9,4.8,1.6,30,120,1.5,260,550,3.1,14.2,,0,,0.5,2.5,0.1,,100
Ayam goreng church texas dada,42.2,338,35.2,20.6,0.4,0,1.5,79,221,5.6,800,369.5,0.16,1.1,16,,80,0.52,0.16,12.1,0,100
Ayam goreng churchtexas paha,50.3,287,31,15.7,1.7,0,1.3,99,176,4.1,723,257,0.17,1.5,22,,30,0.66,0.2,5.3,0,100
Ayam goreng church texas sayap,47.2,295,34,16,1.5,0,1.3,81,179,3,771,237.2,0.16,1.2,13,,50,0.44,0.13,6.2,0,100
Ayam goreng kalasan paha,46.2,275,37.4,12.2,1.3,0,2.9,116,237,5.8,176,321.9,0.16,1.5,10,0,50,0.1,,,0,100
Ayam goreng kentucky dada,46.5,298,34.2,16.8,0.1,0,2.5,90,284,5.5,741,342,0.07,1,36,,50,0.19,0,0,0,100
Ayam goreng Kentucky paha,48.7,286,32.1,16.1,1.1,0,2,89,248,6.9,746,265.2,0.09,2.3,31,,20,0.5,0.21,5.5,0,100
Ayam goreng Kentuckysayap,44.7,297,35.9,15.2,1.6,0,2.6,103,227,4.4,807,248.4,0.06,1.4,22,,70,0.73,0.14,6.5,0,100
Ayam goreng mbok berek dada,43.4,295,39.2,13.6,1,0,2.8,114,278,5.4,,,,,8,,50,0.19,,,0,100
Ayam goreng pasundan dada,50.1,246,37.9,9,0.7,0,2.3,90,260,7.5,,,,,6,,70,0.16,,0,,100
Ayam goreng pasundan paha,52.8,245,33.1,11.4,0.3,0,2.5,90,283,7.3,,,,,8,,40,0.37,,0,,100
Ayam goreng pioneer dada,44.5,295,37.4,14.7,0.6,0,2.7,108,236,6.8,,,,,16,,80,0.1,,0,,100
Ayam goreng sukabumi dada,49.8,244,36.7,9.2,1,0,3.4,81,154,6.1,,,,,20,,80,0.66,,0,,100
Ayam goreng sukabumi paha,46,283,35.7,14.3,0.5,0,3.6,68,106,5.4,,,,,11,,60,0.36,,0,,100
Ayam taliwang masakan,57.5,264,18.2,20.1,2.7,0,1.5,94,164,2,507,408,0.4,12.3,1067,,,,,,,100
Babi hutan masak rica masakan,56.2,491,24.6,16.3,0.2,0,2.7,18,144,1.2,1415,327,0.2,2.6,2193,,,0.61,0.47,,0,100
Beef burger,45.5,258,10.6,9.5,32.5,0.4,2.2,210,157,2.6,572,189.1,,,218,,7580,0.95,,,0,100
Beef teriyaki masakan,65.1,151,8.6,3.1,22.3,0.3,0.9,142,62,2.3,377,,,,22,,400,0.53,,,0,100
Beef yakiniku masakan,67.7,132,9.8,1.1,20.7,0.3,0.8,302,67,2,409,,,,78,,700,0.62,,,0,100
Brongkos,76.4,141,15.3,3.3,12.6,1,2.4,87,97,5.1,,,,,4,,356,0.4,,,0,100
Bulgogi masakan,84.2,72,11.4,4.9,1.4,1.7,0.7,214,86,2.5,509,,,,17,,,01.08,,,0,100
Chicken teriyaki masakan,68.2,168,13,9.6,7.5,0.8,1.7,137,106,3.1,959,,,,68,,2200,0.65,,,0,100
Chikiniku masakan,65.4,143,9.8,1.4,22.8,0.4,0.6,301,63,2,531,,,,27,,1280,0.73,,,0,100
Coto mangkasara kuda masakan,83.5,96,6.8,5.9,3.8,0,0.9,11,106,2.3,96,31,0.1,1,,,,0.23,0.14,4.2,,100
Coto mangkasara sapi masakan,85.9,84,6,6,1.4,0,0.7,8,104,4,90,25,0.3,0.6,,,,0.16,0.14,"10.3
 0",,100
Djibokum masakan,43.4,248,10,2.3,40.9,0.1,3.4,116,110,2.8,401,,,,52,,1920,0.75,,,0,100
Empal (daging) Goreng masakan,43.9,248,36.2,6.9,10.1,0,2,131,235,6.4,848,,,,112,,620,0.55,,,0,100
Gulai kambing,78.4,126,4.2,9.4,6.2,0,1.8,45,73,1.3,302,138,0.2,1.1,151,,,0.13,0.01,,,100
Jangang bintatoeng masakan,73.6,107,5.3,2.2,16.5,0,2.4,64,61,2.5,482,406,0.2,0.8,,,,0.18,0.02,3.4,,100
Kalio ayam masakan,64.7,203,16,13.5,4.4,0,1.4,278,177,4.2,534,,,,105,,3780,0.35,,,0,100
Kalio jeroan masakan,68.9,163,16.5,9,4.1,0,1.5,102,268,7.1,570,,,,298,,1960,0.7,,,0,100
Kalio kikil (tunjang) masakan,75.3,122,13.8,5.7,3.9,0,1.3,154,59,3.4,519,,,,36,,1440,0.38,,,0,100
Kalio otak masakan,70.3,157,8.1,8.8,11.4,0,1.4,212,69,3.3,604,,,,32,,1040,0.45,,,0,100
Lawar babi masakan,68.8,174,17,10,3,0,1.2,61,141,3,,,,0,,0,,0.1,,0,,100
Lawar penyu masakan,66.3,141,23,1.5,7.6,0,1.6,69,141,6,,,,0,,0,,0.1,,0,,100
Lawara jangang masakan,72.4,159,5,10.9,10.1,0,1.6,57,107,1.5,400,2368,0.1,1,14,,,0.25,0.16,,,100
Naan maran sapi masakan,14.8,478,38.3,33.9,5.1,0,7.9,30,390,11.8,220,320,0.6,3.9,33,,,,,0.2,,100
Nasu likku masakan,59,196,14.5,8.3,15.9,0,2.3,69,157,1,386,470,0.3,2,,,,0.2,0.24,1.5,,100
